Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Update Employee Information (Employer),Chrome 71.0.3578.98,,2019-01-03 20:18:07,2019-01-03 21:46:29,1h - 28m - 21.426s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employee Information (Employer)/Employer - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 20:18:08,2019-01-03 20:29:11,11m - 3.110s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:18:08,2019-01-03 20:27:09,9m - 1.083s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:27:09,2019-01-03 20:29:11,2m - 1.494s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employee Information (Employer)/Employer - UO (Query),Chrome 71.0.3578.98,,2019-01-03 20:29:11,2019-01-03 20:41:52,12m - 40.703s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:29:11,2019-01-03 20:38:04,8m - 53.314s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:38:04,2019-01-03 20:41:52,3m - 47.147s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employee Information (Employer)/Employer - UO (Reject),Chrome 71.0.3578.98,,2019-01-03 20:41:52,2019-01-03 20:52:44,10m - 52.399s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:41:52,2019-01-03 20:50:45,8m - 53.185s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:50:45,2019-01-03 20:52:44,1m - 58.944s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employee Information (Employer)/Employer - UO (Under enforcement),Chrome 71.0.3578.98,,2019-01-03 20:52:44,2019-01-03 21:03:35,10m - 51.481s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 20:52:44,2019-01-03 21:01:37,8m - 52.384s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 21:01:37,2019-01-03 21:03:35,1m - 58.828s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employee Information (Employer)/OTC - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 21:03:35,2019-01-03 21:06:51,3m - 15.677s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 21:03:36,2019-01-03 21:04:44,1m - 8.718s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 21:04:44,2019-01-03 21:06:51,2m - 6.724s,PASSED
,,,,,,
